idRegistration, startTime, idValueType, value
1369684, 2026-09-03T19:00:00Z, 8, 1.0
1369845, 2026-09-03T19:00:00Z, 8, 16.3
1369849, 2026-09-03T19:00:00Z, 8, 17.2
1369853, 2026-09-03T19:00:00Z, 8, 28.0
1369857, 2026-09-03T19:00:00Z, 8, 6.5
1379502, 2026-09-03T19:00:00Z, 6, -5003.0
1379517, 2026-09-03T19:00:00Z, 6, -5003.0
1379522, 2026-09-03T19:00:00Z, 6, -5003.0
1379526, 2026-09-03T19:00:00Z, 8, 8.6
1379531, 2026-09-03T19:00:00Z, 8, 16.8
1379567, 2026-09-03T19:00:00Z, 8, 7.3
1379571, 2026-09-03T19:00:00Z, 8, 17.4
1410468, 2026-09-03T19:00:00Z, 8, 5.4
1410474, 2026-09-03T19:00:00Z, 8, 5.5
1410479, 2026-09-03T19:00:00Z, 8, 48.0
1456892, 2026-09-03T19:00:00Z, 8, 5.4
1456898, 2026-09-03T19:00:00Z, 8, 6.3
1456903, 2026-09-03T19:00:00Z, 8, 4.0
1502270, 2026-09-03T19:00:00Z, 8, 1.3
1503270, 2026-09-03T19:00:00Z, 8, 72.2
1503280, 2026-09-03T19:00:00Z, 8, 5.7
1503284, 2026-09-03T19:00:00Z, 8, 3.1
1505800, 2026-09-03T19:00:00Z, 8, 170.0
1508645, 2026-09-03T19:00:00Z, 8, 2.7
1508652, 2026-09-03T19:00:00Z, 8, 2.9
1508659, 2026-09-03T19:00:00Z, 8, 6.7
1508667, 2026-09-03T19:00:00Z, 8, 1.0
1555918, 2026-09-03T19:00:00Z, 8, 16.6
1632205, 2026-09-03T19:00:00Z, 8, 3.54
1632218, 2026-09-03T19:00:00Z, 8, 3.19
1632225, 2026-09-03T19:00:00Z, 8, 3.9
1635658, 2026-09-03T19:00:00Z, 8, 10.3
1635663, 2026-09-03T19:00:00Z, 8, 12.6
1636281, 2026-09-03T19:00:00Z, 8, 1.3
1648286, 2026-09-03T19:00:00Z, 148, 3.0
1648295, 2026-09-03T19:00:00Z, 148, 4.0
1648316, 2026-09-03T19:00:00Z, 148, 3.0
1648319, 2026-09-03T19:00:00Z, 148, 3.0
1648325, 2026-09-03T19:00:00Z, 148, 3.0
1648334, 2026-09-03T19:00:00Z, 148, 3.0
1648352, 2026-09-03T19:00:00Z, 148, 3.0
1648355, 2026-09-03T19:00:00Z, 148, 3.0
1648358, 2026-09-03T19:00:00Z, 148, 2.0
1648361, 2026-09-03T19:00:00Z, 148, 3.0
1648370, 2026-09-03T19:00:00Z, 148, 3.0
1648373, 2026-09-03T19:00:00Z, 148, 3.0
1648376, 2026-09-03T19:00:00Z, 148, 3.0
1648379, 2026-09-03T19:00:00Z, 148, 3.0
1648385, 2026-09-03T19:00:00Z, 148, 3.0
1648391, 2026-09-03T19:00:00Z, 148, 3.0
1648406, 2026-09-03T19:00:00Z, 148, 3.0
1648409, 2026-09-03T19:00:00Z, 148, 3.0
1648412, 2026-09-03T19:00:00Z, 148, 3.0
1648424, 2026-09-03T19:00:00Z, 148, 3.0
1648430, 2026-09-03T19:00:00Z, 148, 3.0
1648433, 2026-09-03T19:00:00Z, 148, 3.0
1648442, 2026-09-03T19:00:00Z, 148, 2.0
1648451, 2026-09-03T19:00:00Z, 148, 3.0
1648454, 2026-09-03T19:00:00Z, 148, 3.0
1648457, 2026-09-03T19:00:00Z, 148, 3.0
1648463, 2026-09-03T19:00:00Z, 148, 0.0
1648466, 2026-09-03T19:00:00Z, 148, 2.0
1648478, 2026-09-03T19:00:00Z, 148, 3.0
1648502, 2026-09-03T19:00:00Z, 148, 3.0
1648511, 2026-09-03T19:00:00Z, 148, 3.0
1648514, 2026-09-03T19:00:00Z, 148, 3.0
1648517, 2026-09-03T19:00:00Z, 148, 3.0
1648520, 2026-09-03T19:00:00Z, 148, 3.0
1648568, 2026-09-03T19:00:00Z, 148, 3.0
1648571, 2026-09-03T19:00:00Z, 148, 3.0
1648574, 2026-09-03T19:00:00Z, 148, 0.0
1648586, 2026-09-03T19:00:00Z, 148, 2.0
1648592, 2026-09-03T19:00:00Z, 148, 3.0
1648595, 2026-09-03T19:00:00Z, 148, 2.0
1648598, 2026-09-03T19:00:00Z, 148, 3.0
1648610, 2026-09-03T19:00:00Z, 148, 3.0
1648616, 2026-09-03T19:00:00Z, 148, 3.0
1648619, 2026-09-03T19:00:00Z, 148, 3.0
1648634, 2026-09-03T19:00:00Z, 148, 3.0
1648646, 2026-09-03T19:00:00Z, 148, 3.0
1648664, 2026-09-03T19:00:00Z, 148, 3.0
1648673, 2026-09-03T19:00:00Z, 148, 3.0
1648685, 2026-09-03T19:00:00Z, 148, 3.0
1648691, 2026-09-03T19:00:00Z, 148, 3.0
1648694, 2026-09-03T19:00:00Z, 148, 0.0
1648700, 2026-09-03T19:00:00Z, 148, 3.0
1648703, 2026-09-03T19:00:00Z, 148, 3.0
1648706, 2026-09-03T19:00:00Z, 148, 2.0
1648715, 2026-09-03T19:00:00Z, 148, 3.0
1648733, 2026-09-03T19:00:00Z, 148, 4.0
1648736, 2026-09-03T19:00:00Z, 148, 3.0
1648760, 2026-09-03T19:00:00Z, 148, 3.0
1648763, 2026-09-03T19:00:00Z, 148, 2.0
1648781, 2026-09-03T19:00:00Z, 148, 3.0
1648790, 2026-09-03T19:00:00Z, 148, 3.0
1648793, 2026-09-03T19:00:00Z, 148, 3.0
1648814, 2026-09-03T19:00:00Z, 148, 3.0
1648820, 2026-09-03T19:00:00Z, 148, 3.0
1648829, 2026-09-03T19:00:00Z, 148, 3.0
1648835, 2026-09-03T19:00:00Z, 148, 3.0
1648838, 2026-09-03T19:00:00Z, 148, 3.0
1648856, 2026-09-03T19:00:00Z, 148, 3.0
1648862, 2026-09-03T19:00:00Z, 148, 3.0
1648892, 2026-09-03T19:00:00Z, 148, 3.0
1648895, 2026-09-03T19:00:00Z, 148, 2.0
1648898, 2026-09-03T19:00:00Z, 148, 3.0
1648907, 2026-09-03T19:00:00Z, 148, 3.0
1648928, 2026-09-03T19:00:00Z, 148, 3.0
1648931, 2026-09-03T19:00:00Z, 148, 3.0
1648937, 2026-09-03T19:00:00Z, 148, 3.0
1648943, 2026-09-03T19:00:00Z, 148, 3.0
1648955, 2026-09-03T19:00:00Z, 148, 2.0
1648958, 2026-09-03T19:00:00Z, 148, 3.0
1648964, 2026-09-03T19:00:00Z, 148, 2.0
1648970, 2026-09-03T19:00:00Z, 148, 3.0
1648973, 2026-09-03T19:00:00Z, 148, 2.0
1648976, 2026-09-03T19:00:00Z, 148, 3.0
1648985, 2026-09-03T19:00:00Z, 148, 4.0
1648997, 2026-09-03T19:00:00Z, 148, 3.0
1649018, 2026-09-03T19:00:00Z, 148, 3.0
1649021, 2026-09-03T19:00:00Z, 148, 3.0
1649030, 2026-09-03T19:00:00Z, 148, 2.0
1649039, 2026-09-03T19:00:00Z, 148, 2.0
1659400, 2026-09-03T19:00:00Z, 8, 6.1
1659405, 2026-09-03T19:00:00Z, 8, 3.8
1668652, 2026-09-03T19:00:00Z, 8, 10.9
1668661, 2026-09-03T19:00:00Z, 8, 13.0
1668670, 2026-09-03T19:00:00Z, 8, 2.9
1668680, 2026-09-03T19:00:00Z, 8, 8.9
1675257, 2026-09-03T19:00:00Z, 8, 38.3
1696550, 2026-09-03T19:00:00Z, 8, 66.0
1730632, 2026-09-03T19:00:00Z, 8, 1.5
1730640, 2026-09-03T19:00:00Z, 8, 4.0
1802139, 2026-09-03T19:00:00Z, 8, 131.634
1802155, 2026-09-03T19:00:00Z, 8, 5.7
1802160, 2026-09-03T19:00:00Z, 8, 7.8
1802164, 2026-09-03T19:00:00Z, 8, 69.2
1802168, 2026-09-03T19:00:00Z, 8, 4.2
1802207, 2026-09-03T19:00:00Z, 148, 2.0
1845613, 2026-09-03T19:00:00Z, 8, 4.3
2053466, 2026-09-03T19:00:00Z, 8, 136.0
2053504, 2026-09-03T19:00:00Z, 8, 23.9
2053515, 2026-09-03T19:00:00Z, 8, 29.3
2053526, 2026-09-03T19:00:00Z, 8, 9.8
2053536, 2026-09-03T19:00:00Z, 8, 10.3
2053564, 2026-09-03T19:00:00Z, 8, 1.3
2105547, 2026-09-03T19:00:00Z, 8, 9.9
2105558, 2026-09-03T19:00:00Z, 8, 3.9
2140455, 2026-09-03T19:00:00Z, 8, 3.4
2140459, 2026-09-03T19:00:00Z, 8, 3.8
2140463, 2026-09-03T19:00:00Z, 8, 106.9
2140479, 2026-09-03T19:00:00Z, 8, 4.8
2180883, 2026-09-03T19:00:00Z, 8, 168.0
2180919, 2026-09-03T19:00:00Z, 8, 9.6
2180923, 2026-09-03T19:00:00Z, 8, 11.3
2180935, 2026-09-03T19:00:00Z, 8, 47.1
2180939, 2026-09-03T19:00:00Z, 8, 12.1
2180943, 2026-09-03T19:00:00Z, 8, 16.2
2180947, 2026-09-03T19:00:00Z, 8, 1.3
2181585, 2026-09-03T19:00:00Z, 8, 13.4
2181589, 2026-09-03T19:00:00Z, 8, 9.0
2181593, 2026-09-03T19:00:00Z, 8, 42.3
2181601, 2026-09-03T19:00:00Z, 8, 5.5
2181605, 2026-09-03T19:00:00Z, 8, 3.6
2181609, 2026-09-03T19:00:00Z, 8, 1.3
2181672, 2026-09-03T19:00:00Z, 8, 6.4
2181676, 2026-09-03T19:00:00Z, 8, 4.2
2187304, 2026-09-03T19:00:00Z, 8, 7.0
2187315, 2026-09-03T19:00:00Z, 8, 4.5
2200581, 2026-09-03T19:00:00Z, 8, 1.3
